timestamp,main_state
317469343,8
318484047,8
319495822,8
319997597,8
320500493,8
320780159,2
322299423,7
324830180,7
325331182,7
325845241,7
326347761,7
326856055,7
327364690,7
327869295,7
328374356,7
328877123,7
329889313,7
330394181,7
330899194,7
331407893,7
331917238,7
332421448,7
332932038,7
333441524,7
333946642,7
334454572,7
334954994,7
336474593,7
336976308,7
337479826,7
337981186,7
338495650,7
339006020,7
339509540,7
340020026,7
340521174,7
341026188,7
341537159,7
342043491,7
343059406,7
343567901,7
344067526,7
344570394,7
345080270,7
345565202,2
346444798,11
346947241,11
347457615,11
347957801,11
348966184,11
349092970,8
349595215,8
350103969,8
350319035,8
350701555,8
