timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
317893154,41.882812,38780.383,6,19554,11720,14336,0,3,127
318912731,177.2998,173.71146,16,20580,10737,14336,0,3,127
319915171,308.0,152.24184,36,21625,9110,14336,0,3,127
321916888,445.7881,110.75992,50,23721,12568,14336,0,3,127
324923927,656.041,93.29561,96,26791,8625,14336,0,3,127
325924815,790.1084,98.361,109,27845,10628,14336,0,3,127
326925361,923.22656,102.20273,116,28910,10049,14336,0,3,127
327927981,1057.417,105.36337,125,29965,7496,14336,0,3,127
328929238,1190.0,107.81755,139,30963,8932,14336,0,3,127
329933521,1321.96,109.78415,154,32013,8531,14336,0,3,127
330936580,1448.6162,111.05183,172,33053,13805,14336,0,3,127
331937368,1582.0,112.63559,186,34072,14334,14336,0,3,127
332938326,1722.0,114.447105,202,35086,8246,14336,0,3,127
333939569,1855.6699,115.636116,217,36121,9393,14336,0,3,127
336945805,2142.0,112.41892,245,39224,8884,14336,0,3,127
338948191,2400.1377,113.98767,273,41304,7077,14336,0,3,127
339949091,2534.0,114.88408,295,42364,7773,14336,0,3,127
340949868,2674.0,115.96946,301,43384,8366,14336,0,3,127
341951221,2800.0,116.379845,320,44402,12772,14336,0,3,127
343952775,3066.0,117.648415,346,46475,9474,14336,0,3,127
345956176,3324.7715,118.47062,371,48571,10377,14336,0,3,127
346959654,3456.5117,118.91296,380,49600,8269,14336,0,3,127
347960418,3595.671,119.58327,389,50649,5813,14336,0,3,127
348961335,3654.0,117.60821,394,51699,11854,14336,0,3,127
349962578,3787.1758,118.089066,415,52729,8175,14336,0,3,127
350963513,3920.0,118.53127,434,53765,10467,14336,0,3,127
