timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
316902918,inf,0,1,1,1,0
318916166,inf,0,1,1,1,0
319921298,inf,0,1,1,1,0
320789094,inf,0,1,1,1,1
322296192,inf,0,0,0,0,0
323305608,inf,0,0,0,0,0
325314555,inf,0,0,0,0,0
326324822,inf,0,0,0,0,0
327334671,inf,0,0,0,0,0
328338543,inf,0,0,0,0,0
329349813,inf,0,0,0,0,0
330358779,inf,0,0,0,0,0
331363575,inf,0,0,0,0,0
332372823,inf,0,0,0,0,0
333377928,inf,0,0,0,0,0
334387652,inf,0,0,0,0,0
336401498,inf,0,0,0,0,0
337411950,inf,0,0,0,0,0
338421587,inf,0,0,0,0,0
339425748,inf,0,0,0,0,0
340435494,inf,0,0,0,0,0
341444483,inf,0,0,0,0,0
342450082,inf,0,0,0,0,0
343459237,inf,0,0,0,0,0
344468516,inf,0,0,0,0,0
345472797,inf,0,0,0,0,0
346269481,inf,0,0,0,0,1
347279551,inf,0,0,0,0,1
348126063,inf,0,1,0,0,1
351100296,inf,0,1,1,1,0
